255,0,0	1000 0.00 200 1 0 0 0 0 0 
255,0,0	1000 0.00 199 1 0 0 0 0 0 
255,0,0	1000 0.00 198 1 0 0 0 0 0 
255,0,0	1000 0.00 197 1 0 0 0 0 0 
255,0,0	1000 0.00 196 1 0 0 0 0 0 
255,0,0	1000 0.00 195 1 0 0 0 0 0 
255,0,0	1000 0.00 194 1 0 0 0 0 0 
255,0,0	1000 0.00 193 1 0 0 0 0 0 
255,0,0	1000 0.00 192 1 0 0 0 0 0 
255,0,0	1000 0.00 191 1 0 0 0 0 0 
255,0,0	1000 0.00 190 1 0 0 0 0 0 
255,0,0	1000 0.00 189 1 0 0 0 0 0 
255,0,0	1000 0.00 188 1 0 0 0 0 0 
255,0,0	1000 0.00 187 1 0 0 0 0 0 
255,0,0	1000 0.00 186 1 0 0 0 0 0 
255,0,0	1000 0.00 185 1 0 0 0 0 0 
255,0,0	1000 0.00 184 1 0 0 0 0 0 
255,0,0	1000 0.00 183 1 0 0 0 0 0 
255,0,0	1000 0.00 182 1 0 0 0 0 0 
255,0,0	1000 0.00 181 1 0 0 0 0 0 
255,0,0	1000 0.00 180 1 0 0 0 0 0 
255,0,0	1000 0.00 179 1 0 0 0 0 0 
255,0,0	1000 0.00 178 1 0 0 0 0 0 
255,0,0	1000 0.00 177 1 0 0 0 0 0 
255,0,0	1000 0.00 176 1 0 0 0 0 0 
255,0,0	1000 0.00 175 1 0 0 0 0 0 
255,0,0	1000 0.00 174 1 0 0 0 0 0 
255,0,0	1000 0.00 173 1 0 0 0 0 0 
255,0,0	1000 0.00 172 1 0 0 0 0 0 
255,0,0	1000 0.00 171 1 0 0 0 0 0 
255,0,0	1000 0.00 170 1 0 0 0 0 0 
255,0,0	1000 0.00 169 1 0 0 0 0 0 
255,0,0	1000 0.00 168 1 0 0 0 0 0 
255,0,0	1000 0.00 167 1 0 0 0 0 0 
255,0,0	1000 0.00 166 1 0 0 0 0 0 
255,0,0	1000 0.00 165 1 0 0 0 0 0 
255,0,0	1000 0.00 164 1 0 0 0 0 0 
255,0,0	1000 0.00 163 1 0 0 0 0 0 
255,0,0	1000 0.00 162 1 0 0 0 0 0 
255,0,0	1000 0.00 161 1 0 0 0 0 0 
255,0,0	1000 0.00 160 1 0 0 0 0 0 
255,0,0	1000 0.00 159 1 0 0 0 0 0 
255,0,0	1000 0.00 158 1 0 0 0 0 0 
255,0,0	1000 0.00 157 1 0 0 0 0 0 
255,0,0	1000 0.00 156 1 0 0 0 0 0 
255,0,0	1000 0.00 155 1 0 0 0 0 0 
255,0,0	1000 0.00 154 1 0 0 0 0 0 
255,0,0	1000 0.00 153 1 0 0 0 0 0 
255,0,0	1000 0.00 152 1 0 0 0 0 0 
255,0,0	1000 0.00 151 1 0 0 0 0 0 
255,0,0	1000 0.00 150 1 0 0 0 0 0 
255,0,0	1000 0.00 149 1 0 0 0 0 0 
255,0,0	1000 0.00 148 1 0 0 0 0 0 
255,0,0	1000 0.00 147 1 0 0 0 0 0 
255,0,0	1000 0.00 146 1 0 0 0 0 0 
255,0,0	1000 0.00 145 1 0 0 0 0 0 
255,0,0	1000 0.00 144 1 0 0 0 0 0 
255,0,0	1000 0.00 143 1 0 0 0 0 0 
255,0,0	1000 0.00 142 1 0 0 0 0 0 
255,0,0	1000 0.00 141 1 0 0 0 0 0 
255,0,0	1000 0.00 140 1 0 0 0 0 0 
255,0,0	1000 0.00 139 1 0 0 0 0 0 
255,0,0	1000 0.00 138 1 0 0 0 0 0 
255,0,0	1000 0.00 137 1 0 0 0 0 0 
255,0,0	1000 0.00 136 1 0 0 0 0 0 
255,0,0	1000 0.00 135 1 0 0 0 0 0 
255,0,0	1000 0.00 134 1 0 0 0 0 0 
255,0,0	1000 0.00 133 1 0 0 0 0 0 
255,0,0	1000 0.00 132 1 0 0 0 0 0 
255,0,0	1000 0.00 131 1 0 0 0 0 0 
255,0,0	1000 0.00 130 1 0 0 0 0 0 
255,0,0	1000 0.00 129 1 0 0 0 0 0 
255,0,0	1000 0.00 128 1 0 0 0 0 0 
255,0,0	1000 0.00 127 1 0 0 0 0 0 
255,0,0	1000 0.00 126 1 0 0 0 0 0 
255,0,0	1000 0.00 127 1 0 0 0 0 0 
255,0,0	1000 0.00 128 1 0 0 0 0 0 
255,0,0	1000 0.00 129 1 0 0 0 0 0 
255,0,0	1000 0.00 130 1 0 0 0 0 0 
255,0,0	1000 0.00 131 1 0 0 0 0 0 
255,0,0	1000 0.00 132 1 0 0 0 0 0 
255,0,0	1000 0.00 133 1 0 0 0 0 0 
255,0,0	1000 0.00 134 1 0 0 0 0 0 
255,0,0	1000 0.00 135 1 0 0 0 0 0 
255,0,0	1000 0.00 136 1 0 0 0 0 0 
255,0,0	1000 0.00 137 1 0 0 0 0 0 
255,0,0	1000 0.00 138 1 0 0 0 0 0 
255,0,0	1000 0.00 139 1 0 0 0 0 0 
255,0,0	1000 0.00 140 1 0 0 0 0 0 
255,0,0	1000 0.00 141 1 0 0 0 0 0 
255,0,0	1000 0.00 142 1 0 0 0 0 0 
255,0,0	1000 0.00 143 1 0 0 0 0 0 
255,0,0	1000 0.00 144 1 0 0 0 0 0 
255,0,0	1000 0.00 145 1 0 0 0 0 0 
255,0,0	1000 0.00 146 1 0 0 0 0 0 
255,0,0	1000 0.00 147 1 0 0 0 0 0 
255,0,0	1000 0.00 148 1 0 0 0 0 0 
255,0,0	1000 0.00 149 1 0 0 0 0 0 
255,0,0	1000 0.00 150 1 0 0 0 0 0 
255,0,0	1000 0.00 151 1 0 0 0 0 0 
255,0,0	1000 0.00 152 1 0 0 0 0 0 
255,0,0	1000 0.00 153 1 0 0 0 0 0 
255,0,0	1000 0.00 154 1 0 0 0 0 0 
255,0,0	1000 0.00 155 1 0 0 0 0 0 
255,0,0	1000 0.00 156 1 0 0 0 0 0 
255,0,0	1000 0.00 157 1 0 0 0 0 0 
255,0,0	1000 0.00 158 1 0 0 0 0 0 
255,0,0	1000 0.00 159 1 0 0 0 0 0 
255,0,0	1000 0.00 160 1 0 0 0 0 0 
255,0,0	1000 0.00 161 1 0 0 0 0 0 
255,0,0	1000 0.00 162 1 0 0 0 0 0 
255,0,0	1000 0.00 163 1 0 0 0 0 0 
255,0,0	1000 0.00 164 1 0 0 0 0 0 
255,0,0	1000 0.00 165 1 0 0 0 0 0 
255,0,0	1000 0.00 166 1 0 0 0 0 0 
255,0,0	1000 0.00 167 1 0 0 0 0 0 
255,0,0	1000 0.00 168 1 0 0 0 0 0 
255,0,0	1000 0.00 169 1 0 0 0 0 0 
255,0,0	1000 0.00 170 1 0 0 0 0 0 
255,0,0	1000 0.00 171 1 0 0 0 0 0 
255,0,0	1000 0.00 172 1 0 0 0 0 0 
255,0,0	1000 0.00 173 1 0 0 0 0 0 
255,0,0	1000 0.00 174 1 0 0 0 0 0 
255,0,0	1000 0.00 175 1 0 0 0 0 0 
255,0,0	1000 0.00 176 1 0 0 0 0 0 
255,0,0	1000 0.00 177 1 0 0 0 0 0 
255,0,0	1000 0.00 178 1 0 0 0 0 0 
255,0,0	1000 0.00 179 1 0 0 0 0 0 
255,0,0	1000 0.00 180 1 0 0 0 0 0 
255,0,0	1000 0.00 181 1 0 0 0 0 0 
255,0,0	1000 0.00 182 1 0 0 0 0 0 
255,0,0	1000 0.00 183 1 0 0 0 0 0 
255,0,0	1000 0.00 184 1 0 0 0 0 0 
255,0,0	1000 0.00 185 1 0 0 0 0 0 
255,0,0	1000 0.00 186 1 0 0 0 0 0 
255,0,0	1000 0.00 187 1 0 0 0 0 0 
255,0,0	1000 0.00 188 1 0 0 0 0 0 
255,0,0	1000 0.00 189 1 0 0 0 0 0 
255,0,0	1000 0.00 190 1 0 0 0 0 0 
255,0,0	1000 0.00 191 1 0 0 0 0 0 
255,0,0	1000 0.00 192 1 0 0 0 0 0 
255,0,0	1000 0.00 193 1 0 0 0 0 0 
255,0,0	1000 0.00 194 1 0 0 0 0 0 
255,0,0	1000 0.00 195 1 0 0 0 0 0 
255,0,0	1000 0.00 196 1 0 0 0 0 0 
255,0,0	1000 0.00 197 1 0 0 0 0 0 
255,0,0	1000 0.00 198 1 0 0 0 0 0 
255,0,0	1000 0.00 199 1 0 0 0 0 0 
255,0,0	1000 0.00 200 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
255,0,0	1000 0.00 0 1 0 0 0 0 0 
