chrI	250000	250001
chrI	250001	250002
chrI	250002	250003
chrI	250003	250004
chrI	250004	250005
chrI	250005	250006
chrI	250006	250007
chrI	250007	250008
chrI	250008	250009
chrI	250009	250010
chrI	250010	250011
chrI	250011	250012
chrI	250012	250013
chrI	250013	250014
chrI	250014	250015
chrI	250015	250016
chrI	250016	250017
chrI	250017	250018
chrI	250018	250019
chrI	250019	250020
chrI	250020	250021
chrI	250021	250022
chrI	250022	250023
chrI	250023	250024
chrI	250024	250025
chrI	250025	250026
chrI	250026	250027
chrI	250027	250028
chrI	250028	250029
chrI	250029	250030
chrI	250030	250031
chrI	250031	250032
chrI	250032	250033
chrI	250033	250034
chrI	250034	250035
chrI	250035	250036
chrI	250036	250037
chrI	250037	250038
chrI	250038	250039
chrI	250039	250040
chrI	250040	250041
chrI	250041	250042
chrI	250042	250043
chrI	250043	250044
chrI	250044	250045
chrI	250045	250046
chrI	250046	250047
chrI	250047	250048
chrI	250048	250049
chrI	250049	250050
chrI	250050	250051
chrI	250051	250052
chrI	250052	250053
chrI	250053	250054
chrI	250054	250055
chrI	250055	250056
chrI	250056	250057
chrI	250057	250058
chrI	250058	250059
chrI	250059	250060
chrI	250060	250061
chrI	250061	250062
chrI	250062	250063
chrI	250063	250064
chrI	250064	250065
chrI	250065	250066
chrI	250066	250067
chrI	250067	250068
chrI	250068	250069
chrI	250069	250070
chrI	250070	250071
chrI	250071	250072
chrI	250072	250073
chrI	250073	250074
chrI	250074	250075
chrI	250075	250076
chrI	250076	250077
chrI	250077	250078
chrI	250078	250079
chrI	250079	250080
chrI	250080	250081
chrI	250081	250082
chrI	250082	250083
chrI	250083	250084
chrI	250084	250085
chrI	250085	250086
chrI	250086	250087
chrI	250087	250088
chrI	250088	250089
chrI	250089	250090
chrI	250090	250091
chrI	250091	250092
chrI	250092	250093
chrI	250093	250094
chrI	250094	250095
chrI	250095	250096
chrI	250096	250097
chrI	250097	250098
chrI	250098	250099
chrI	250099	250100
chrI	250100	250101
chrI	250101	250102
chrI	250102	250103
chrI	250103	250104
chrI	250104	250105
chrI	250105	250106
chrI	250106	250107
chrI	250107	250108
chrI	250108	250109
chrI	250109	250110
chrI	250110	250111
chrI	250111	250112
chrI	250112	250113
chrI	250113	250114
chrI	250114	250115
chrI	250115	250116
chrI	250116	250117
chrI	250117	250118
chrI	250118	250119
chrI	250119	250120
chrI	250120	250121
chrI	250121	250122
chrI	250122	250123
chrI	250123	250124
chrI	250124	250125
chrI	250125	250126
chrI	250126	250127
chrI	250127	250128
chrI	250128	250129
chrI	250129	250130
chrI	250130	250131
chrI	250131	250132
chrI	250132	250133
chrI	250133	250134
chrI	250134	250135
chrI	250135	250136
chrI	250136	250137
chrI	250137	250138
chrI	250138	250139
chrI	250139	250140
chrI	250140	250141
chrI	250141	250142
chrI	250142	250143
chrI	250143	250144
chrI	250144	250145
chrI	250145	250146
chrI	250146	250147
chrI	250147	250148
chrI	250148	250149
chrI	250149	250150
chrI	250150	250151
chrI	250151	250152
chrI	250152	250153
chrI	250153	250154
chrI	250154	250155
chrI	250155	250156
chrI	250156	250157
chrI	250157	250158
chrI	250158	250159
chrI	250159	250160
chrI	250160	250161
chrI	250161	250162
chrI	250162	250163
chrI	250163	250164
chrI	250164	250165
chrI	250165	250166
chrI	250166	250167
chrI	250167	250168
chrI	250168	250169
chrI	250169	250170
chrI	250170	250171
chrI	250171	250172
chrI	250172	250173
chrI	250173	250174
chrI	250174	250175
chrI	250175	250176
chrI	250176	250177
chrI	250177	250178
chrI	250178	250179
chrI	250179	250180
chrI	250180	250181
chrI	250181	250182
chrI	250182	250183
chrI	250183	250184
chrI	250184	250185
chrI	250185	250186
chrI	250186	250187
chrI	250187	250188
chrI	250188	250189
chrI	250189	250190
chrI	250190	250191
chrI	250191	250192
chrI	250192	250193
chrI	250193	250194
chrI	250194	250195
chrI	250195	250196
chrI	250196	250197
chrI	250197	250198
chrI	250198	250199
chrI	250199	250200
chrI	250200	250201
chrI	250201	250202
chrI	250202	250203
chrI	250203	250204
chrI	250204	250205
chrI	250205	250206
chrI	250206	250207
chrI	250207	250208
chrI	250208	250209
chrI	250209	250210
chrI	250210	250211
chrI	250211	250212
chrI	250212	250213
chrI	250213	250214
chrI	250214	250215
chrI	250215	250216
chrI	250216	250217
chrI	250217	250218
chrI	250218	250219
chrI	250219	250220
chrI	250220	250221
chrI	250221	250222
